ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
314	11718011-01234028-51450007	HUF	9/2/2016		CASHIER TRANSACTION FEES CAK-LCD/1173/A/0002	01234567-98765432	-107		101
315	11718011-01234028-51450007	HUF	9/6/2016		CASH DEPOSIT Szekeres Lajos	01234567-98765432	48000		5
316	11718011-01234028-51450007	HUF	9/6/2016		CASHIER TRANSACTION FEES CAK-LCD/1173/A/0037	01234567-98765432	-107		101
317	11718011-01234028-51450007	HUF	9/16/2016		+IZV 00128730214 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
318	11718011-01234028-51450007	HUF	9/30/2016		Int.Appl. to   30/09/16	01234567-98765432	74.02		102
319	11718011-01234028-51450007	HUF	9/30/2016		CRT to         30/09/16	01234567-98765432	-11.1		101
320	11718011-01234028-51450007	HUF	9/30/2016		Havi zarlati dij	01234567-98765432	-1059		101
321	11718011-01234028-51450007	HUF	9/30/2016		Konyvelesi teteldij	01234567-98765432	-33		101
322	11718011-01234028-51450007	HUF	9/30/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.93		101
323	11718011-01234028-51450007	HUF	10/17/2016		+IZV 00131714399 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
324	11718011-01234028-51450007	HUF	10/28/2016		Havi zarlati dij	01234567-98765432	-1059		101
325	11718011-01234028-51450007	HUF	10/28/2016		Konyvelesi teteldij	01234567-98765432	-11		101
326	11718011-01234028-51450007	HUF	10/28/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.22		101
327	11718011-01234028-51450007	HUF	11/16/2016		+IZV 00134704358 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
328	11718011-01234028-51450007	HUF	11/30/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.22		101
329	11718011-01234028-51450007	HUF	11/30/2016		Konyvelesi teteldij	01234567-98765432	-11		101
330	11718011-01234028-51450007	HUF	11/30/2016		Havi zarlati dij	01234567-98765432	-1059		101
331	11718011-01234028-51450007	HUF	12/16/2016		+IZV 00137909783 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
332	11718011-01234028-51450007	HUF	12/30/2016		EHO from acct  31/12/	01234567-98765432	-5.32		101
333	11718011-01234028-51450007	HUF	12/30/2016		Int.Appl. to   31/12/16	01234567-98765432	88.68		102
334	11718011-01234028-51450007	HUF	12/30/2016		CRT to         31/12/16	01234567-98765432	-13.3		101
335	11718011-01234028-51450007	HUF	12/30/2016		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
336	11718011-01234028-51450007	HUF	12/30/2016		Szamlacsomag havi dij	01234567-98765432	-1059		101
337	11718011-01234028-51450007	HUF	12/30/2016		Szlafenntart./zarlati dij	01234567-98765432	-400		101
338	11718011-01234028-51450007	HUF	12/30/2016		Konyvelesi teteldij	01234567-98765432	-11		101
339	11718011-01234028-51450007	HUF	1/2/2017		Teves EHO terheles storno	01234567-98765432	5.32		101
340	11718011-01234028-51450007	HUF	1/2/2017		+IZV 00139210062 FOVAROSI CSATORNAZASI MUV	01234567-98765432	-223565		52
341	11718011-01234028-51450007	HUF	1/16/2017		+IZV 00140785511 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
342	11718011-01234028-51450007	HUF	1/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-678.61		101
343	11718011-01234028-51450007	HUF	1/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
344	11718011-01234028-51450007	HUF	1/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
345	11718011-01234028-51450007	HUF	1/31/2017		Konyvelesi teteldij 'IZV'	01234567-98765432	-11		101
346	11718011-01234028-51450007	HUF	1/31/2017		Atutalasi jutalek form.	01234567-98765432	-478.43		101
347	11718011-01234028-51450007	HUF	1/31/2017		Konyvelesi teteldij	01234567-98765432	-11		101
348	11718011-01234028-51450007	HUF	2/16/2017		+IZV 00143860130 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
349	11718011-01234028-51450007	HUF	2/28/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
350	11718011-01234028-51450007	HUF	2/28/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
351	11718011-01234028-51450007	HUF	2/28/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
352	11718011-01234028-51450007	HUF	2/28/2017		Konyvelesi teteldij	01234567-98765432	-11		101
353	11718011-01234028-51450007	HUF	3/16/2017		+IZV 00146773174 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
354	11718011-01234028-51450007	HUF	3/17/2017		+IZV 00146915979 SZABO KALMAN	01234567-98765432	48000		2
355	11718011-01234028-51450007	HUF	3/23/2017		CASH WITHDRAWAL szamlak kiegyenlitese	01234567-98765432	-50000		111
356	11718011-01234028-51450007	HUF	3/23/2017		CASHIER TRANSACTION FEES CAK-LCW/1173/B/0005	01234567-98765432	-268		101
357	11718011-01234028-51450007	HUF	3/24/2017		CASH WITHDRAWAL szamla kiegyenlites	01234567-98765432	-30000		111
358	11718011-01234028-51450007	HUF	3/24/2017		CASHIER TRANSACTION FEES CAK-LCW/1173/B/0001	01234567-98765432	-268		101
359	11718011-01234028-51450007	HUF	3/31/2017		Int.Appl. to   31/03/17	01234567-98765432	25.39		102
360	11718011-01234028-51450007	HUF	3/31/2017		CRT to         31/03/17	01234567-98765432	-3.81		101
361	11718011-01234028-51450007	HUF	3/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
362	11718011-01234028-51450007	HUF	3/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
363	11718011-01234028-51450007	HUF	3/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-7.57		101
364	11718011-01234028-51450007	HUF	3/31/2017		Konyvelesi teteldij	01234567-98765432	-44		101
365	11718011-01234028-51450007	HUF	3/31/2017		Konyvelesi teteldij-PTIKP	01234567-98765432	-480		101
366	11718011-01234028-51450007	HUF	4/18/2017		+IZV 00149883345 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
367	11718011-01234028-51450007	HUF	4/28/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
368	11718011-01234028-51450007	HUF	4/28/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
369	11718011-01234028-51450007	HUF	4/28/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
370	11718011-01234028-51450007	HUF	4/28/2017		Konyvelesi teteldij	01234567-98765432	-11		101
371	11718011-01234028-51450007	HUF	5/8/2017		CASH WITHDRAWAL CAK-LCW/1173/A/0026	01234567-98765432	-50000		111
372	11718011-01234028-51450007	HUF	5/8/2017		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0026	01234567-98765432	-268		101
373	11718011-01234028-51450007	HUF	5/16/2017		+IZV 00152878921 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
374	11718011-01234028-51450007	HUF	5/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-6.17		101
375	11718011-01234028-51450007	HUF	5/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
376	11718011-01234028-51450007	HUF	5/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
377	11718011-01234028-51450007	HUF	5/31/2017		Konyvelesi teteldij-PTIKP	01234567-98765432	-300		101
378	11718011-01234028-51450007	HUF	5/31/2017		Konyvelesi teteldij	01234567-98765432	-22		101
379	11718011-01234028-51450007	HUF	6/16/2017		+IZV 00156039066 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
380	11718011-01234028-51450007	HUF	6/30/2017		Int.Appl. to   30/06/17	01234567-98765432	7.09		102
381	11718011-01234028-51450007	HUF	6/30/2017		CRT to         30/06/17	01234567-98765432	-1.06		101
382	11718011-01234028-51450007	HUF	6/30/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
383	11718011-01234028-51450007	HUF	6/30/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
384	11718011-01234028-51450007	HUF	6/30/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
